customer_id,economic_centre,latitude,longitude,annual_demand
C0001,Pretoria,-26.13706,28.34092,797
C0002,Cape Town,-33.57122,18.25978,946
C0003,Johannesburg,-26.40408,27.72387,121
C0004,Pretoria,-25.41527,27.87481,815
C0005,Pretoria,-25.99407,27.48043,441
C0006,Durban,-29.6495,30.83127,714
C0007,Cape Town,-34.13499,18.7557,803
C0008,Durban,-30.08115,31.01708,334
C0009,Johannesburg,-26.28441,28.18357,292
C0010,Durban,-29.4765,30.55693,755
C0011,Mbombela,-25.39878,31.00042,345
C0012,Pretoria,-26.30205,28.06808,1322
C0013,Pretoria,-26.14359,28.27635,971
C0014,Cape Town,-33.61419,18.13037,544
C0015,Bloemfontein,-29.61305,26.58898,592
C0016,Pretoria,-25.89153,28.51368,1606
C0017,Bloemfontein,-29.44844,26.17757,1251
C0018,Cape Town,-33.64644,18.41156,1839
C0019,Durban,-29.99822,31.0005,264
C0020,Durban,-29.49383,30.94491,838
C0021,Durban,-30.13494,31.2821,579
C0022,Johannesburg,-26.3535,28.36769,823
C0023,East London,-32.53515,27.97304,544
C0024,Johannesburg,-25.96851,27.91006,256
C0025,East London,-33.94461,28.03253,514
C0026,Pretoria,-25.8491,28.17285,864
C0027,Durban,-30.18877,31.51319,657
C0028,Pretoria,-26.33363,28.25038,3298
C0029,Johannesburg,-26.03689,27.95664,457
C0030,Durban,-30.00622,31.42179,1084
C0031,Johannesburg,-26.48474,28.53171,1658
C0032,Durban,-29.37139,30.67511,460
C0033,Johannesburg,-25.60679,28.35306,669
C0034,Johannesburg,-26.33204,27.67549,904
C0035,Cape Town,-33.70771,18.36777,516
C0036,Johannesburg,-26.51403,28.33203,298
C0037,East London,-32.53794,28.80031,538
C0038,Polokwane,-23.97655,29.55986,1105
C0039,Pretoria,-25.29311,27.9258,993
C0040,Johannesburg,-25.77813,28.14988,418
C0041,Johannesburg,-26.14291,27.6214,1315
C0042,Johannesburg,-25.74031,27.70616,1109
C0043,Pretoria,-25.47841,28.67324,876
C0044,Cape Town,-33.59571,18.33821,407
C0045,Pretoria,-25.44036,28.14544,1459
C0046,Durban,-29.67041,30.92917,3897
C0047,Johannesburg,-26.54116,28.38931,683
C0048,Johannesburg,-26.25215,27.96909,1057
C0049,Johannesburg,-26.24755,28.30642,495
C0050,Pretoria,-25.47593,28.07302,1160
C0051,Johannesburg,-25.95556,28.07967,1001
C0052,Johannesburg,-25.58707,28.06767,316
C0053,Bloemfontein,-28.77984,26.57727,356
C0054,Pretoria,-25.2642,28.40956,928
C0055,Bloemfontein,-29.07682,26.50927,1693
C0056,Cape Town,-33.92234,18.758,1015
C0057,Bloemfontein,-29.4886,25.67883,740
C0058,Johannesburg,-26.50368,28.85743,197
C0059,Pretoria,-25.89299,28.25737,372
C0060,Durban,-29.97589,30.77144,1034
C0061,Cape Town,-33.08874,19.06929,1613
C0062,Mbombela,-25.18523,29.983,750
C0063,Gqeberha,-34.11637,25.018,402
C0064,Johannesburg,-25.62264,27.88107,434
C0065,Cape Town,-33.59402,18.86734,850
C0066,Cape Town,-33.34693,17.89232,485
C0067,Pretoria,-25.83099,28.8845,656
C0068,Durban,-30.18511,30.9334,295
C0069,Durban,-29.31863,31.48494,611
C0070,Cape Town,-34.08788,18.83121,669
C0071,Cape Town,-33.99576,18.44541,1012
C0072,Cape Town,-33.88077,18.97921,297
C0073,Durban,-29.6183,31.04664,884
C0074,Polokwane,-23.94247,29.56725,443
C0075,Johannesburg,-25.89435,27.88471,443
C0076,Cape Town,-34.04932,18.73896,812
C0077,Cape Town,-34.1453,18.73096,952
C0078,East London,-33.26384,27.90428,717
C0079,Pretoria,-25.98212,28.63598,1825
C0080,Gqeberha,-34.11463,26.05912,674
C0081,Pretoria,-25.83163,28.52819,557
C0082,Mbombela,-25.68988,30.72575,979
C0083,Cape Town,-34.55212,18.26773,1455
C0084,Gqeberha,-34.37963,25.82064,1000
C0085,Johannesburg,-26.4488,28.04421,170
C0086,Bloemfontein,-28.46555,25.91518,539
C0087,Johannesburg,-25.98926,28.52256,501
C0088,East London,-32.94396,27.74674,773
C0089,Johannesburg,-25.80008,27.88022,431
C0090,Johannesburg,-25.72806,28.15612,1735
C0091,Durban,-29.96451,31.0202,426
C0092,Johannesburg,-26.22097,28.16025,388
C0093,Gqeberha,-33.78836,25.63331,259
C0094,Bloemfontein,-29.38065,26.28253,670
C0095,Johannesburg,-26.03833,28.06632,2919
C0096,Cape Town,-33.78272,19.17771,403
