facility_id,near_centre,latitude,longitude,capacity,fixed_cost,operating_cost_per_unit
F001,Pretoria,-25.73262,28.35279,26449,10066112,10.8
F002,Johannesburg,-25.68558,27.81745,31778,19350770,12.82
F003,Cape Town,-34.18703,18.12384,29753,19916345,9.61
F004,Cape Town,-33.9037,18.40294,15916,5239779,14.07
F005,Johannesburg,-25.78799,28.43778,14495,11164014,13.7
F006,Johannesburg,-26.29454,28.11733,13747,15007571,9.67
F007,Johannesburg,-26.43144,28.05452,31160,17000254,8.02
F008,Durban,-29.19032,31.26101,15609,6230746,10.11
F009,Durban,-29.59469,31.07761,34803,17259034,9.08
F010,East London,-32.91163,28.28458,12488,10393455,14.96
F011,Johannesburg,-26.45991,27.84869,23504,7801445,7.56
F012,Johannesburg,-25.98274,28.24458,42555,5953692,5.31
F013,Bloemfontein,-28.52526,26.31912,12357,18944783,13.2
F014,Pretoria,-25.69499,28.66078,30319,11151537,11.77
F015,East London,-32.83403,28.04064,42733,19722791,14.37
F016,East London,-32.97015,27.94791,27522,17204734,5.89
F017,Durban,-29.89947,30.83557,24793,9556766,5.66
F018,Pretoria,-25.7212,28.19561,29784,15495967,5.72
F019,Mbombela,-25.9487,30.74512,34746,7681206,13.42
F020,Johannesburg,-26.4956,28.02944,38643,7274316,11.67
